solar_all_sky_kwh_m2_day,solar_clear_sky_kwh_m2_day,clearness_index,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_10m_m_s,wind_direction_10m_deg,surface_pressure_kpa,TS,T2MDEW,T2MWET,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,precipitation_mm,date,pm25_ug_m3
5.2402,6.6631,0.57,25.43,26.12,24.88,80.8,5.11,89.2,101.45,26.44,21.91,23.67,3.2009,2.6273,0.21,2022-09-10,8.569359
6.4927,6.7548,0.7,25.26,26.43,24.2,79.14,4.75,100.9,101.31,26.8,21.39,23.33,6.8424,1.5314,0.03,2022-09-11,6.4795527
6.4063,6.7464,0.69,25.67,26.98,24.39,82.14,4.65,107.5,101.41,27.2,22.39,24.03,6.6698,1.7191,1.17,2022-09-12,5.1380553
6.4421,6.7618,0.69,26.1,26.96,25.56,82.04,6.43,89.4,101.48,27.28,22.79,24.45,6.6122,1.7309,1.23,2022-09-13,8.353865
6.377,6.7157,0.68,26.09,27.04,25.19,81.43,5.56,88.4,101.48,27.26,22.67,24.38,6.5995,1.6054,0.49,2022-09-14,7.1108346
6.0566,6.7598,0.64,25.63,26.55,24.93,80.51,4.05,83.1,101.26,27.13,22.04,23.84,4.9157,2.3491,0.3,2022-09-15,7.614453
4.2569,6.7198,0.45,26.16,27.21,25.03,84.33,3.45,83.2,101.17,27.66,23.32,24.74,2.0182,2.3436,1.85,2022-09-16,5.965994
5.9184,6.7397,0.62,26.58,27.64,25.8,82.09,4.59,87.7,101.31,27.65,23.27,24.93,5.4434,1.837,2.59,2022-09-17,6.8357906
5.8109,6.774,0.61,26.18,27.31,25.32,83.6,7.11,105.2,101.44,27.44,23.19,24.69,5.5334,1.7239,7.52,2022-09-18,8.733547
4.2122,6.7682,0.44,25.69,26.34,25.09,82.59,7.63,100.8,101.47,27.02,22.52,24.1,2.1974,2.4876,7.35,2022-09-19,7.5543337
6.2789,6.8998,0.65,26.0,26.95,25.16,79.95,8.54,104.3,101.38,27.14,22.28,24.14,5.9753,1.7909,1.11,2022-09-20,8.645465
5.8226,6.9089,0.6,26.29,27.23,25.55,80.26,7.65,88.3,101.17,27.25,22.62,24.45,5.317,2.0786,0.92,2022-09-21,5.9397287
3.7831,7.0085,0.39,26.47,27.56,25.64,79.86,5.82,56.7,101.1,26.95,22.7,24.58,0.4634,2.5891,1.69,2022-09-22,10.182397
3.2278,6.9194,0.33,26.01,26.76,25.52,85.73,5.86,77.8,101.21,26.32,23.45,24.73,0.3533,2.2716,10.22,2022-09-23,8.245713
4.4662,6.8803,0.45,25.86,26.6,25.2,86.84,5.87,94.2,101.16,26.82,23.52,24.69,2.0124,2.4492,7.68,2022-09-24,9.0554695
6.5688,6.9322,0.67,26.32,27.32,25.56,84.58,5.51,87.0,101.01,27.27,23.52,24.92,6.7862,1.4767,3.02,2022-09-25,4.5852246
5.7811,6.9876,0.58,25.88,26.88,25.24,83.65,6.16,86.6,100.93,27.19,22.91,24.4,5.8997,1.788,1.62,2022-09-26,4.0233135
6.299,7.1057,0.63,26.11,27.05,25.13,82.04,4.29,78.8,100.98,27.43,22.81,24.46,6.5638,1.3248,4.39,2022-09-27,3.7932181
6.5347,7.2674,0.65,25.96,27.27,25.01,80.42,6.02,165.6,101.01,27.42,22.34,24.15,6.1058,1.9445,2.7,2022-09-28,5.0013824
6.8273,7.3987,0.68,25.35,26.58,24.45,73.33,7.22,128.9,101.2,27.07,20.22,22.79,6.3941,2.0563,0.33,2022-09-29,7.661669
6.918,7.3877,0.69,25.3,26.57,24.15,75.44,6.33,87.4,101.26,27.07,20.64,22.97,7.2902,1.6994,0.2,2022-09-30,5.497064
6.9658,7.3303,0.69,25.42,26.55,24.23,79.61,5.17,61.7,101.15,27.36,21.65,23.54,7.4448,1.4522,0.05,2022-10-01,7.6595583
6.4171,7.2506,0.63,26.42,27.67,25.15,80.14,4.69,66.0,101.03,27.79,22.72,24.57,6.2028,1.8518,0.15,2022-10-02,5.255501
5.8478,7.1779,0.57,26.84,27.91,25.88,82.08,5.43,60.1,100.99,27.88,23.53,25.19,4.9874,1.9411,2.47,2022-10-03,5.6097493
5.1629,7.243,0.51,26.84,27.82,25.86,79.58,5.01,57.7,101.09,27.91,23.01,24.92,3.5014,1.9901,4.64,2022-10-04,7.5273123
1.6375,7.2898,0.16,26.57,27.6,25.91,82.72,5.64,70.9,101.25,27.24,23.37,24.97,0.0394,1.253,6.41,2022-10-05,7.345022
6.5686,7.4059,0.64,26.44,27.22,25.6,84.27,4.74,86.4,101.22,27.27,23.58,25.02,6.2753,2.0146,4.4,2022-10-06,9.975949
3.8083,7.3454,0.37,26.44,27.22,25.56,81.59,6.08,97.0,101.24,26.8,23.05,24.74,0.1226,2.8877,13.7,2022-10-07,6.220837
2.3878,7.4299,0.23,25.78,26.83,24.84,82.21,8.1,87.4,101.28,26.93,22.53,24.16,0.1678,1.7081,34.66,2022-10-08,7.48566
4.7964,7.4818,0.46,25.59,26.44,24.85,81.14,4.7,80.6,101.1,27.06,22.13,23.86,1.5878,2.6846,27.24,2022-10-09,8.533319
6.0276,7.505,0.58,25.41,26.34,24.62,81.3,3.99,166.6,100.78,26.77,21.99,23.7,5.226,2.1127,22.75,2022-10-10,6.5068164
6.3218,7.662,0.6,25.31,26.62,24.17,76.03,4.23,165.2,100.76,27.07,20.77,23.04,5.4463,2.4053,1.23,2022-10-11,9.007558
7.1014,7.6279,0.68,25.12,26.15,24.09,75.0,3.16,126.2,100.83,26.93,20.38,22.75,7.0975,1.8641,0.06,2022-10-12,4.757837
3.9264,7.487,0.37,25.92,26.71,24.81,81.8,5.26,44.4,100.74,26.72,22.57,24.24,1.4275,2.376,31.55,2022-10-13,4.5310316
5.369,7.6022,0.51,26.61,28.62,25.12,81.13,5.26,280.6,100.67,27.02,23.03,24.82,4.1304,1.9598,10.22,2022-10-14,5.046445
7.4424,7.8936,0.7,25.95,27.85,24.46,69.46,4.15,216.9,101.02,27.04,19.86,22.9,7.7551,1.6373,0.01,2022-10-15,4.1284842
6.2566,7.6596,0.59,25.61,26.58,24.58,78.16,4.66,110.6,101.25,26.96,21.53,23.57,5.0981,2.3604,1.06,2022-10-16,6.3152328
6.0439,7.5862,0.57,26.56,27.62,25.47,83.73,6.36,96.2,101.35,27.45,23.59,25.07,5.4806,1.8269,1.77,2022-10-17,5.598686
5.7583,7.5922,0.54,26.59,27.19,26.0,83.63,4.52,76.0,101.27,27.2,23.61,25.1,3.2866,2.8548,3.76,2022-10-18,9.682175
6.6091,7.6642,0.62,26.38,27.34,25.66,83.08,4.04,93.1,101.17,27.73,23.28,24.83,5.7497,2.1826,19.99,2022-10-19,4.0302978
6.0974,7.6452,0.57,25.92,26.69,25.25,82.65,3.94,123.6,101.12,27.51,22.76,24.34,4.9106,2.2733,35.46,2022-10-20,2.8227234
5.0426,7.6198,0.47,25.6,26.59,24.93,84.23,5.95,137.6,101.06,27.07,22.76,24.18,2.7883,2.7271,38.93,2022-10-21,5.009724
3.7253,7.6025,0.35,25.62,26.38,25.1,83.93,7.83,133.4,101.01,26.87,22.72,24.17,2.2128,2.375,13.94,2022-10-22,8.521845
4.2374,7.4494,0.39,25.27,26.02,24.79,83.09,8.34,138.4,101.09,26.46,22.21,23.74,0.5585,2.879,4.79,2022-10-23,8.799635
3.2309,7.5883,0.3,25.04,25.5,24.61,79.77,7.82,131.5,101.15,26.39,21.31,23.17,0.2815,2.3263,3.41,2022-10-24,10.434562
2.5291,7.6884,0.23,24.89,25.9,23.95,76.28,6.74,112.7,101.07,26.34,20.44,22.66,0.0302,1.9102,5.59,2022-10-25,7.3830366
2.455,7.5612,0.23,24.45,24.89,23.82,82.9,6.93,77.2,100.81,25.96,21.38,22.92,0.3984,1.7004,20.61,2022-10-26,3.2343054
6.5657,7.7597,0.6,25.2,25.9,24.41,85.16,8.34,100.6,100.69,26.54,22.55,23.87,5.9616,1.9318,12.66,2022-10-27,4.852879
6.7363,7.8506,0.62,25.87,26.8,24.97,88.52,7.71,112.8,100.73,26.9,23.85,24.86,6.3691,1.8326,7.87,2022-10-28,2.6799824
6.7951,7.8485,0.62,26.32,26.94,25.78,84.24,4.83,120.6,100.79,27.2,23.46,24.89,6.5323,1.955,2.94,2022-10-29,3.918146
6.3175,7.806,0.57,26.65,27.35,26.02,81.51,2.42,84.2,100.79,27.49,23.24,24.95,4.7657,2.2358,1.97,2022-10-30,4.204274
4.4244,7.7894,0.4,26.46,27.08,25.76,85.64,3.69,40.5,100.83,26.8,23.88,25.17,0.3492,3.1714,2.55,2022-10-31,9.252915
5.2435,7.7832,0.48,26.47,27.7,24.66,83.74,3.69,35.5,100.95,26.65,23.51,24.99,1.6716,3.2801,9.47,2022-11-01,6.0656476
5.3436,7.7086,0.48,24.64,25.48,23.57,84.07,3.91,70.7,100.95,26.84,21.79,23.22,1.1794,3.5446,2.71,2022-11-02,5.557624
6.6118,7.8842,0.6,26.86,28.06,25.45,80.46,4.38,44.4,100.95,27.57,23.2,25.03,5.6258,2.2598,0.51,2022-11-03,7.2702804
7.0459,7.8989,0.63,26.93,27.6,26.41,85.99,5.23,55.6,101.16,27.52,24.4,25.67,6.7138,1.9087,1.24,2022-11-04,2.7457716
5.7994,7.9039,0.52,26.27,26.82,25.77,86.03,4.37,101.6,101.18,27.79,23.77,25.02,3.8674,2.6513,1.94,2022-11-05,6.295963
7.5526,8.1007,0.68,26.11,27.06,25.22,80.8,6.21,107.7,101.01,27.6,22.56,24.34,7.4707,1.9469,0.4,2022-11-06,5.3702393
7.5454,8.0453,0.68,25.79,26.7,24.85,80.62,5.18,94.2,100.89,27.43,22.22,24.01,6.8422,2.1689,5.65,2022-11-07,5.383967
6.9245,8.0383,0.62,26.29,27.38,25.24,80.29,6.09,77.7,100.88,27.57,22.63,24.46,6.9341,1.83,2.65,2022-11-08,5.501171
5.9698,7.8994,0.53,26.39,26.95,25.72,82.49,6.62,62.8,100.83,27.21,23.19,24.79,3.0046,2.9438,20.36,2022-11-09,8.987726
4.1371,7.9085,0.37,26.6,27.12,25.95,86.6,5.29,48.4,100.79,27.17,24.2,25.4,0.557,2.8968,17.34,2022-11-10,5.8846154
4.3615,7.9013,0.39,27.8,29.31,26.62,83.57,2.49,12.3,100.83,28.25,24.74,26.27,1.5708,2.5466,8.62,2022-11-11,4.213874
4.4868,7.9392,0.4,26.74,27.15,25.96,87.08,2.61,68.6,100.95,27.46,24.43,25.59,3.324,1.902,28.82,2022-11-12,3.788088
2.2488,7.8833,0.2,25.91,26.38,25.39,87.17,3.74,124.5,100.86,27.42,23.64,24.77,0.0826,1.6646,25.22,2022-11-13,4.1385703
1.8806,7.8494,0.17,26.39,27.58,25.31,83.75,2.69,37.2,100.61,27.52,23.43,24.91,1.0771,1.187,10.81,2022-11-14,6.948532
7.5917,8.1794,0.67,26.21,27.01,25.42,79.68,2.4,167.2,100.53,27.68,22.42,24.32,7.861,1.6978,2.96,2022-11-15,3.3418033
7.8458,8.3359,0.69,26.55,28.3,25.34,74.1,2.8,206.4,100.7,27.91,21.53,24.04,8.4929,1.7477,0.67,2022-11-16,0.71736395
7.4076,8.3854,0.65,25.86,26.74,24.8,79.18,2.91,128.1,100.83,27.9,21.99,23.93,7.2432,1.8271,0.97,2022-11-17,3.888907
6.8712,8.2138,0.61,26.67,27.8,25.55,77.97,3.29,51.8,100.96,28.12,22.51,24.59,6.0199,2.255,1.3,2022-11-18,3.1874804
7.2038,8.25,0.63,27.26,28.38,26.34,74.81,3.75,43.9,101.01,28.27,22.38,24.82,6.2004,2.3323,0.54,2022-11-19,2.6049776
6.8196,8.2162,0.6,27.29,28.56,26.25,75.39,3.56,55.6,101.0,28.38,22.55,24.92,4.7801,2.8939,0.06,2022-11-20,8.424806
7.9558,8.2373,0.7,27.02,27.91,26.19,79.94,3.86,81.1,101.07,28.45,23.27,25.15,8.1487,1.7261,0.32,2022-11-21,1.4196715
7.9572,8.2092,0.7,26.71,27.65,25.83,81.34,3.92,96.6,101.08,28.61,23.26,24.99,8.1276,1.877,0.33,2022-11-22,2.970829
7.9944,8.3045,0.7,26.55,27.47,25.66,80.87,4.35,111.6,101.11,28.54,23.01,24.78,8.065,1.9711,0.51,2022-11-23,1.6739818
7.9625,8.3251,0.7,27.3,28.37,26.04,77.56,3.23,74.6,101.09,28.89,23.04,25.17,8.7,1.6313,0.36,2022-11-24,1.8790729
7.1599,8.2351,0.63,27.67,28.55,26.67,80.06,3.31,45.9,100.97,29.28,23.94,25.8,6.7253,1.9596,1.26,2022-11-25,1.6349587
7.3805,8.2111,0.65,28.4,29.61,27.16,78.9,4.15,25.7,100.82,29.23,24.38,26.39,7.7213,1.6476,1.78,2022-11-26,2.436785
6.3571,8.1617,0.56,27.92,28.47,27.34,79.72,2.71,21.9,100.91,28.55,24.11,26.01,4.8487,2.4917,3.76,2022-11-27,5.5241427
7.0522,8.1634,0.62,27.32,28.01,26.76,82.44,5.53,86.5,101.06,28.37,24.08,25.71,4.9762,2.9969,9.45,2022-11-28,9.849636
7.3536,8.2392,0.64,27.51,28.27,26.7,83.52,5.49,88.1,101.05,28.87,24.48,25.99,6.8424,2.4583,6.74,2022-11-29,4.326324
6.6281,8.2522,0.58,27.61,28.51,26.35,79.44,4.7,82.4,100.81,28.92,23.73,25.67,5.61,2.2894,6.57,2022-11-30,4.8352504
6.9197,8.1545,0.6,28.51,29.81,27.42,72.06,1.96,63.3,100.62,29.56,22.97,25.74,6.3744,2.8337,0.02,2022-12-01,4.866685
7.231,8.0897,0.63,28.58,30.05,27.25,74.64,2.77,348.2,100.58,29.29,23.62,26.1,6.6355,2.0066,0.56,2022-12-02,3.915627
7.0286,8.1703,0.61,28.85,30.54,27.11,73.97,4.08,337.6,100.63,29.49,23.71,26.28,7.5811,1.7086,4.12,2022-12-03,6.834888
5.5954,8.0892,0.49,28.44,29.77,27.59,75.25,2.38,167.8,100.8,29.49,23.61,26.02,1.9577,3.3187,3.71,2022-12-04,7.2300634
7.001,7.951,0.61,27.85,28.33,27.35,79.83,2.8,90.9,100.86,29.24,24.06,25.96,7.2703,2.665,2.61,2022-12-05,5.4124527
7.1676,8.0412,0.62,28.12,29.21,27.13,73.82,1.57,85.1,100.72,29.9,23.0,25.56,5.5771,2.5738,1.36,2022-12-06,1.3353513
6.7085,7.997,0.58,28.36,29.46,27.49,78.32,3.97,224.9,100.49,29.64,24.23,26.3,5.5469,2.7103,5.53,2022-12-07,3.181121
7.0637,8.1785,0.61,28.2,28.92,27.29,78.82,2.9,177.4,100.43,29.85,24.17,26.18,7.0277,2.0654,4.93,2022-12-08,3.8659422
6.8429,8.1305,0.59,27.84,28.13,27.51,80.52,1.81,57.8,100.65,29.29,24.2,26.02,5.3285,2.5286,12.83,2022-12-09,2.5252903
3.3797,8.0899,0.29,27.27,27.91,26.67,83.45,3.63,1.7,100.84,28.81,24.24,25.76,0.4174,2.2601,15.31,2022-12-10,3.7817783
3.5494,8.0645,0.31,27.57,28.49,26.64,76.52,2.59,321.9,100.76,28.96,23.07,25.32,0.2453,2.5558,9.82,2022-12-11,5.900532
4.1722,8.0976,0.36,27.34,28.27,26.63,77.1,3.29,279.7,100.67,28.66,22.98,25.16,0.7392,2.8042,11.97,2022-12-12,5.765038
6.2861,8.129,0.54,27.54,28.87,26.37,77.69,4.42,311.0,100.43,28.59,23.29,25.41,4.8883,2.394,24.66,2022-12-13,2.9858427
7.907,8.4528,0.68,27.25,28.14,26.4,79.16,5.13,183.7,100.27,28.97,23.34,25.3,7.908,2.2253,0.63,2022-12-14,2.7363925
7.7136,8.5222,0.67,27.01,28.2,25.92,77.84,5.65,166.0,100.29,28.78,22.8,24.9,7.2089,2.4005,2.64,2022-12-15,2.2130706
7.9498,8.58,0.69,26.9,28.0,25.88,75.84,4.94,159.8,100.23,28.79,22.27,24.59,7.1201,2.6021,0.21,2022-12-16,2.9154775
8.2116,8.501,0.71,26.68,27.99,25.42,76.92,2.73,153.4,100.24,29.11,22.29,24.49,8.3815,1.9363,0.34,2022-12-17,1.2569785
8.1086,8.4533,0.7,27.56,29.14,26.02,74.12,2.7,46.3,100.43,29.46,22.53,25.05,8.8711,1.4059,0.31,2022-12-18,2.0107648
7.9099,8.4079,0.68,28.18,29.05,27.2,75.38,4.0,61.3,100.53,29.7,23.43,25.81,8.184,1.8204,0.54,2022-12-19,2.4571066
7.9704,8.5075,0.69,28.05,28.81,27.38,77.31,3.89,81.2,100.6,29.79,23.71,25.88,8.3467,1.8283,0.21,2022-12-20,5.9239864
7.3099,8.2025,0.63,28.5,29.2,27.46,80.24,5.75,60.1,100.64,29.11,24.78,26.64,6.4946,2.1538,5.68,2022-12-21,6.31627
4.4938,8.035,0.39,28.43,29.23,27.74,81.65,5.33,69.8,100.95,28.82,25.0,26.71,0.3101,3.209,5.94,2022-12-22,5.0062566
2.9321,8.1804,0.25,28.21,28.87,27.64,81.02,6.01,86.3,100.97,28.88,24.65,26.43,0.3655,2.0582,11.16,2022-12-23,7.4849567
4.8545,8.1974,0.42,27.59,28.07,27.09,81.74,3.94,46.3,100.97,28.7,24.19,25.89,2.5142,2.7026,19.69,2022-12-24,9.287397
5.2428,8.0258,0.45,28.01,28.69,27.18,80.95,4.46,64.7,100.97,28.68,24.44,26.22,1.0795,3.281,7.28,2022-12-25,10.4772835
6.4289,8.1557,0.55,28.4,29.47,27.59,78.0,4.52,59.3,100.91,29.37,24.19,26.3,3.9684,3.4044,0.57,2022-12-26,10.871908
6.5364,8.0866,0.56,27.95,28.66,27.29,82.47,3.23,48.5,100.9,28.78,24.69,26.32,4.6534,2.4132,6.8,2022-12-27,6.189289
6.6194,7.9764,0.57,27.73,28.27,27.12,83.5,3.25,43.1,100.88,28.47,24.69,26.21,4.2617,2.9006,12.97,2022-12-28,3.374886
5.0659,8.0494,0.44,27.86,28.54,27.24,81.22,3.97,358.6,100.78,28.45,24.36,26.11,1.7004,3.1238,11.12,2022-12-29,2.4293385
2.9316,8.0878,0.25,28.02,29.02,27.07,81.03,4.89,327.6,100.65,28.28,24.46,26.24,0.4927,2.058,31.09,2022-12-30,7.247614
2.0611,8.129,0.18,28.15,28.78,27.57,80.29,5.73,320.8,100.7,28.27,24.44,26.3,0.2839,1.4791,19.45,2022-12-31,7.818457
3.4445,8.1646,0.3,28.5,29.57,27.47,76.57,5.34,319.5,100.62,28.56,23.96,26.23,0.1356,2.509,15.51,2023-01-01,4.22785
5.987,8.0988,0.52,28.22,28.99,27.46,81.88,5.51,340.9,100.56,28.41,24.85,26.54,3.0511,2.9328,8.52,2023-01-02,6.201425
2.9206,8.035,0.25,27.75,28.28,27.33,83.47,6.37,337.0,100.66,28.18,24.71,26.23,0.0566,2.197,28.37,2023-01-03,6.326907
4.031,7.9056,0.35,27.65,28.16,26.94,82.59,5.34,336.1,100.68,28.14,24.44,26.04,0.2981,2.8872,10.82,2023-01-04,6.4340496
0.823,8.0479,0.07,27.63,28.07,27.14,85.93,4.29,334.4,100.64,28.09,25.09,26.36,0.4387,0.5062,24.13,2023-01-05,7.030422
4.565,8.1905,0.39,27.97,29.23,27.09,82.7,4.81,280.7,100.63,28.27,24.75,26.36,0.5633,3.0749,12.09,2023-01-06,5.235819
6.7831,7.9543,0.59,28.73,30.09,27.19,80.39,3.38,245.9,100.67,28.99,25.01,26.87,4.5458,3.5777,2.29,2023-01-07,3.9941738
6.486,8.0208,0.56,28.7,29.83,27.77,81.95,4.11,226.2,100.71,29.05,25.31,27.0,3.3516,3.8282,6.04,2023-01-08,7.655956
6.1843,7.9433,0.53,28.45,29.42,27.74,83.07,4.11,274.9,100.6,28.6,25.3,26.87,3.1738,3.4618,9.92,2023-01-09,8.030014
6.816,8.0515,0.59,28.72,29.64,27.93,81.3,6.56,324.0,100.43,28.58,25.2,26.96,5.2764,3.0098,11.01,2023-01-10,8.3511505
4.9111,7.9958,0.43,28.35,29.32,27.42,82.6,6.31,325.6,100.65,28.67,25.1,26.72,2.1199,2.6676,13.24,2023-01-11,7.328737
5.7564,8.0549,0.5,27.65,28.42,27.14,84.47,6.73,329.5,100.69,28.49,24.81,26.23,2.4878,2.9762,23.95,2023-01-12,3.2487931
4.8818,8.083,0.42,27.49,28.51,26.39,82.38,3.91,276.2,100.57,28.35,24.23,25.86,1.2619,3.0322,37.24,2023-01-13,6.1305094
6.547,8.0748,0.57,28.05,28.86,26.89,80.25,2.42,345.0,100.57,28.99,24.34,26.19,3.7877,3.1202,3.85,2023-01-14,2.8348026
6.9703,8.1252,0.6,28.25,28.69,27.76,81.42,2.41,165.2,100.61,29.07,24.78,26.51,5.3434,2.5529,14.89,2023-01-15,1.660652
4.9344,8.0417,0.43,27.9,28.47,27.4,84.21,4.19,211.0,100.6,28.94,25.01,26.46,1.795,2.6765,60.36,2023-01-16,5.176307
7.098,8.1586,0.62,27.46,28.29,26.76,80.29,4.4,201.6,100.54,28.97,23.76,25.61,5.521,3.2851,4.28,2023-01-17,3.4511807
5.7499,8.0892,0.5,27.4,28.52,26.34,75.94,2.82,61.4,100.48,29.12,22.77,25.08,3.2088,2.7658,13.79,2023-01-18,5.6423845
5.7787,7.9735,0.5,28.03,29.0,27.28,81.98,6.07,348.3,100.44,28.63,24.66,26.35,2.0503,3.5251,13.03,2023-01-19,6.885443
4.4969,8.0441,0.39,28.41,29.39,27.43,77.85,4.62,301.7,100.65,28.44,24.15,26.28,0.4315,3.1423,11.39,2023-01-20,6.044516
5.4878,8.0942,0.48,27.6,28.25,26.85,78.58,3.52,55.4,100.73,28.85,23.53,25.57,2.0311,3.1222,7.77,2023-01-21,6.737984
6.977,8.0686,0.61,28.29,28.75,27.85,83.43,4.99,54.2,100.77,28.75,25.23,26.76,5.5229,2.5927,11.06,2023-01-22,4.864013
6.9322,8.1194,0.61,28.13,28.66,27.56,83.22,3.8,94.1,100.84,29.09,25.04,26.58,4.8216,2.8697,1.55,2023-01-23,7.0446653
7.4563,8.1521,0.65,28.29,28.76,27.66,83.57,4.91,112.7,100.79,29.02,25.26,26.78,6.2806,2.2421,3.07,2023-01-24,0.9461658
7.655,8.1444,0.67,28.5,29.12,27.82,80.55,5.36,108.6,100.82,29.42,24.84,26.67,7.0738,2.1538,1.96,2023-01-25,2.5149484
6.87,8.0969,0.6,28.23,28.64,27.73,82.36,4.22,103.4,100.78,29.4,24.96,26.6,5.1288,2.9078,0.79,2023-01-26,2.5734615
7.4849,8.1101,0.66,28.01,28.43,27.55,81.89,3.43,94.1,100.65,29.3,24.64,26.32,6.6343,2.1521,3.84,2023-01-27,1.752518
7.2317,8.1516,0.63,28.11,28.67,27.35,80.03,2.69,73.4,100.57,29.71,24.36,26.24,6.8047,1.9459,5.3,2023-01-28,1.7537332
7.5386,8.1634,0.66,27.98,28.34,27.57,80.05,2.75,100.9,100.71,29.75,24.23,26.11,7.4722,1.752,6.16,2023-01-29,1.8071518
6.9706,8.0568,0.61,28.19,28.65,27.44,81.63,3.55,81.1,100.6,29.65,24.77,26.48,5.7326,2.4334,3.38,2023-01-30,7.0677013
5.4545,7.9754,0.48,28.97,29.69,28.32,81.32,4.69,2.8,100.51,29.38,25.46,27.22,2.1221,3.4709,2.99,2023-01-31,4.932389
5.3304,8.0122,0.47,28.66,29.73,27.78,76.43,2.63,16.9,100.48,29.84,24.09,26.38,2.015,2.9839,5.48,2023-02-01,4.850264
4.799,7.9627,0.42,28.2,28.93,27.52,85.58,5.44,133.9,100.29,29.34,25.56,26.88,1.4626,2.7845,13.76,2023-02-02,8.826372
6.4824,7.7618,0.57,27.56,27.97,27.16,86.24,8.6,24.0,100.41,28.93,25.07,26.31,4.4575,2.7864,12.64,2023-02-03,3.7392454
5.627,7.855,0.5,28.35,29.36,27.11,75.41,6.4,357.3,100.68,29.44,23.58,25.96,3.1932,3.0794,3.02,2023-02-04,7.1109414
5.9438,7.8137,0.53,28.88,30.58,27.48,72.27,3.69,289.7,100.7,29.76,23.35,26.12,3.6437,2.7614,6.89,2023-02-05,7.106351
5.8949,7.8602,0.52,28.19,29.75,26.68,78.92,6.83,271.4,100.54,29.25,24.18,26.18,4.4714,2.2685,36.88,2023-02-06,5.403706
6.7169,7.853,0.6,28.05,29.05,27.18,79.99,5.04,294.7,100.5,29.23,24.28,26.17,5.2087,2.2814,34.49,2023-02-07,2.4298713
3.6574,7.8156,0.33,27.2,27.47,26.98,83.42,4.83,343.6,100.62,28.77,24.16,25.68,0.2304,2.623,4.73,2023-02-08,6.1352453
3.3384,7.7669,0.3,27.95,28.52,27.5,78.36,3.96,14.8,100.66,29.31,23.85,25.9,0.4318,2.2536,23.12,2023-02-09,8.099676
3.1678,7.6301,0.28,27.83,28.36,27.37,79.72,3.13,31.8,100.63,29.22,24.02,25.93,0.1402,2.2754,7.59,2023-02-10,2.7687576
6.2071,7.7362,0.56,28.6,29.42,27.62,79.83,3.56,20.6,100.5,29.34,24.79,26.7,3.7013,2.8049,8.5,2023-02-11,5.6760144
5.6179,7.7537,0.5,28.74,29.92,27.84,79.76,5.38,330.9,100.39,29.05,24.9,26.82,2.0177,3.5218,12.36,2023-02-12,5.249472
4.806,7.6426,0.43,28.41,29.49,27.62,82.92,5.91,314.2,100.35,28.95,25.23,26.82,0.4951,3.3007,8.52,2023-02-13,5.870355
3.961,7.6075,0.36,28.35,29.47,27.45,83.54,7.26,316.3,100.33,28.78,25.3,26.83,0.378,2.8349,12.75,2023-02-14,7.705694
5.3695,7.6598,0.49,27.7,28.37,26.93,83.6,3.92,151.9,100.47,29.15,24.68,26.19,4.2912,2.341,29.59,2023-02-15,3.8550992
4.0006,7.5835,0.36,28.0,29.16,27.27,85.53,6.26,307.0,100.49,28.96,25.35,26.67,0.4582,2.8018,49.66,2023-02-16,7.7830863
2.4965,7.601,0.23,27.67,28.61,26.77,85.7,7.29,325.4,100.49,28.44,25.07,26.37,0.3552,1.7868,32.1,2023-02-17,5.050495
2.1286,7.5953,0.19,27.8,28.8,27.11,84.25,6.6,347.7,100.62,28.57,24.92,26.36,0.0991,1.5958,24.21,2023-02-18,6.632732
5.6806,7.549,0.52,28.23,29.04,27.35,81.19,4.27,355.9,100.81,28.93,24.71,26.47,2.3856,3.0725,12.26,2023-02-19,4.6007214
6.2866,7.609,0.57,28.11,29.06,27.28,79.45,2.12,325.3,100.89,29.06,24.22,26.17,4.5389,2.2788,30.14,2023-02-20,3.3246365
5.5906,7.6116,0.51,27.85,28.36,27.04,83.06,1.74,63.5,100.59,28.83,24.73,26.29,2.9278,2.755,11.92,2023-02-21,3.2827215
6.0734,7.632,0.56,27.84,28.3,27.43,83.14,3.44,121.1,100.35,28.76,24.74,26.29,5.0191,2.381,10.74,2023-02-22,4.121418
5.5092,7.4436,0.51,27.88,28.39,27.18,83.72,3.86,128.3,100.33,29.08,24.89,26.38,1.9121,3.4198,9.15,2023-02-23,5.3629456
6.067,7.4892,0.56,28.58,29.38,27.74,84.49,5.87,101.2,100.39,28.97,25.73,27.16,3.9149,3.1363,8.18,2023-02-24,4.0746284
6.5633,7.5917,0.61,28.98,29.44,28.54,85.84,8.78,72.2,100.45,28.82,26.39,27.69,5.737,2.1197,8.84,2023-02-25,5.4178104
6.299,7.5012,0.58,28.94,29.52,28.53,84.05,10.25,46.0,100.63,28.93,26.0,27.47,5.0026,3.0989,7.24,2023-02-26,4.0107293
6.3377,7.5302,0.59,29.06,29.8,28.49,80.13,7.34,30.9,100.67,29.16,25.3,27.18,5.6496,3.0754,2.64,2023-02-27,2.6712072
7.163,7.6246,0.67,28.78,29.48,28.09,78.95,6.07,44.5,100.67,29.19,24.78,26.78,7.253,1.9044,1.16,2023-02-28,2.5274005
