date,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,precipitation_mm,wind_speed_10m_m_s,surface_pressure_hpa,shortwave_radiation_mean_w_m2,available_weather_hours,wind_direction_10m_deg,surface_pressure_kpa,shortwave_radiation_kwh_m2_day,weather_data_status,pm25_ug_m3,month,day_of_week,day_of_year,wet_season,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,wind_direction_sin,wind_direction_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,pm25_rolling_mean_3,pm25_rolling_std_3,pm25_rolling_mean_7,pm25_rolling_std_7,pm25_rolling_mean_14,pm25_rolling_std_14,pm25_previous_day_change,pm25_3day_vs_14day,target_pm25_ug_m3
2022-01-01,25.15416666666667,30.6,22.9,93.54166666666669,19.3,0.9783333333333334,999.7708333333334,175.125,24,280.9651898574549,99.97708333333334,4.203,Complete,3.840192,1,5,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.017201575418260506,0.9998520419557735,-0.9817429285824724,0.19021257103122943,,,,,,,,,,,,,,3.840192
2022-01-02,24.791666666666668,28.9,22.3,93.625,9.4,0.9575,997.025,311.5833333333333,24,208.91970746299705,99.7025,7.478,Complete,4.0177817,1,6,2,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.03439806061360801,0.9994082116062598,-0.4835834795415535,-0.8752982453509683,3.840192,,,,,,,,,,,,,4.0177817
2022-01-03,25.258333333333336,28.3,23.3,92.41666666666669,9.6,1.4108333333333334,995.3083333333334,320.125,24,181.86662871502296,99.53083333333332,7.683,Complete,7.7806277,1,0,3,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0.051584366869408364,0.9986686402879997,-0.03257305421483659,-0.9994693572787098,4.0177817,3.840192,,,,,,,,,,0.17758969999999952,,7.7806277
2022-01-04,25.95833333333333,30.5,22.7,82.54166666666667,0.0,1.3458333333333332,996.775,317.9583333333333,24,182.74643320333172,99.6775,7.631,Complete,8.237435,1,1,4,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.06875540848113941,0.9976335468520451,-0.04791594777344967,-0.9988513713005414,7.7806277,4.0177817,3.840192,,,5.212867133333333,2.22551797817559,,,,,3.7628460000000006,,8.237435
2022-01-05,25.55,30.8,21.8,84.33333333333333,0.3,1.2970833333333334,999.2666666666668,278.8333333333333,24,10.03620382070094,99.92666666666668,6.692,Complete,10.707261,1,2,5,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.08590610426133272,0.9963032375991965,0.17427041921822298,0.9846978323249751,8.237435,7.7806277,4.0177817,,,6.678614800000001,2.3156409084473855,,,,,0.45680729999999947,,10.707261
2022-01-06,24.15416666666667,26.3,22.6,97.0,17.5,1.4370833333333335,1000.6458333333334,84.20833333333333,24,20.646533281221004,100.06458333333332,2.021,Complete,5.1601744,1,3,6,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.10303137904317879,0.9946781061893646,0.3526017614308996,0.9357734757065018,10.707261,8.237435,7.7806277,,,8.908441233333333,1.5744785301954325,,,,,2.469826000000001,,5.1601744
2022-01-07,24.25,26.6,23.0,95.66666666666669,15.4,2.1666666666666665,1000.9125,47.458333333333336,24,17.56254065842939,100.09125,1.139,Complete,6.243326,1,4,7,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.1201261651823505,0.9927586335250793,0.3017466407456224,0.9533881501249805,5.1601744,10.707261,8.237435,,,8.0349568,2.7790808737928674,,,,,-5.547086600000001,,6.243326
2022-01-08,23.65833333333333,27.1,22.5,94.83333333333331,10.8,2.7120833333333336,1001.1,39.29166666666666,24,6.092939494020343,100.11,0.943,Complete,6.7394695,1,5,8,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.13718540405660057,0.9905453876091833,0.10614153918342394,0.9943510314068034,6.243326,5.1601744,10.707261,3.840192,,7.3702538,2.9402409997795296,6.569542542857143,2.497428014207627,,,1.0831515999999999,,6.7394695
2022-01-09,23.02083333333333,23.7,22.3,96.33333333333331,54.1,4.442083333333334,998.1541666666668,26.75,24,18.75815365147046,99.81541666666666,0.642,Complete,8.119336,1,6,9,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1542040475626894,0.988039023376751,0.3215742178415571,0.9468843764787709,6.7394695,6.243326,5.1601744,4.0177817,,6.047656633333333,0.807624992809043,6.983725042857143,2.1909499803631527,,,0.4961435000000005,,8.119336
2022-01-10,24.9,27.1,23.7,91.75,67.6,4.611666666666667,994.9166666666666,85.91666666666667,24,358.1674940366259,99.49166666666666,2.062,Complete,6.284239,1,0,10,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0.17117705961019986,0.985240282501282,-0.0319778101339136,0.9994885790538276,8.119336,6.7394695,6.243326,7.7806277,,7.034043833333334,0.972077110325661,7.569661371428571,1.774406640903082,,,1.3798665000000003,,6.284239
2022-01-11,25.316666666666663,27.7,22.9,92.79166666666669,13.4,2.837916666666666,997.75,218.20833333333331,24,10.4607151689104,99.775,5.237,Complete,7.385644,1,1,11,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.18809941761179758,0.9821499931752291,0.18156131432724604,0.9833796261565332,6.284239,8.119336,6.7394695,8.237435,,7.0476815,0.9555842336289635,7.355891557142857,1.8338954309686277,,,-1.8350970000000002,,7.385644
2022-01-12,26.35,31.6,22.9,85.08333333333333,0.0,2.0475,998.9916666666668,280.25,24,4.539229360464852,99.89916666666667,6.726,Complete,6.3540354,1,2,12,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.20496611396949532,0.9787690698649216,0.07914164814313303,0.9968633805738821,7.385644,6.284239,8.119336,10.707261,,7.263073000000001,0.9236682236512218,7.234207128571429,1.793467376131122,,,1.1014049999999997,,6.3540354
2022-01-13,26.17083333333333,31.3,22.9,85.29166666666667,0.7,1.7054166666666666,998.5041666666666,233.125,24,336.9965598658281,99.85041666666666,5.595,Complete,5.794746,1,3,13,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.22177215755648186,0.975098513039961,-0.3907863964317599,0.9204813916445457,6.3540354,7.385644,6.284239,5.1601744,,6.674639466666666,0.6167361422672233,6.612317757142857,0.9402593366850586,,,-1.0316086000000002,,5.794746
2022-01-14,25.725,33.3,21.9,87.29166666666667,5.2,1.3666666666666665,998.1208333333334,307.4166666666667,24,279.8664594229548,99.81208333333332,7.378,Complete,6.866806,1,4,14,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.23851257519407648,0.9711394088771653,-0.9852098035358504,0.17135239425479606,5.794746,6.3540354,7.385644,6.243326,,6.511475133333334,0.8070499140852795,6.702970842857143,0.7965240209892647,,,-0.5592893999999999,,6.866806
2022-01-15,25.2875,30.4,22.3,89.91666666666667,6.2,1.3691666666666666,998.9291666666668,303.4166666666667,24,245.7357933894113,99.89291666666666,7.282,Complete,9.282445,1,5,15,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.2551824131233728,0.9668929289391521,-0.9116601769359802,-0.41094491332666144,6.866806,5.794746,6.3540354,6.7394695,3.840192,6.338529133333334,0.5361981854962371,6.792039414285715,0.7710100734657549,6.680790978571429,1.779431333524898,1.0720600000000005,-0.3422618452380952,9.282445
