solar_all_sky_kwh_m2_day,solar_clear_sky_kwh_m2_day,clearness_index,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_10m_m_s,wind_direction_10m_deg,surface_pressure_kpa,TS,T2MDEW,T2MWET,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,precipitation_mm,date,pm25_ug_m3,year,month,day_of_week,day_of_year,wet_season,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,temperature_mean_c_lag_1,relative_humidity_pct_lag_1,precipitation_mm_lag_1,wind_speed_10m_m_s_lag_1,solar_all_sky_kwh_m2_day_lag_1,pm25_rolling_mean_3,pm25_rolling_std_3,pm25_rolling_mean_7,pm25_rolling_std_7,pm25_rolling_mean_14,pm25_rolling_std_14,dry_day,solar_clear_sky_ratio,target_pm25_next_day
7.3608,8.197,0.64,28.12,28.9,27.29,83.51,4.56,39.1,100.74,28.77,25.07,26.59,6.2839,2.3153,3.4,2021-01-15,3.4836986,2021,1,4,15,1,6.51098,6.8609295,6.189083,6.024031,6.255171,27.92,83.96,2.66,4.01,6.2544,6.520330905914307,0.33602078898515014,6.393657888684954,0.6405454870755337,6.778212998594556,3.042146270224207,0,0.8979870684396731,4.9836617
7.0231,8.1648,0.61,28.15,28.95,27.35,80.86,4.35,26.9,100.79,28.59,24.55,26.35,6.4834,2.1252,16.23,2021-01-16,4.9836617,2021,1,5,16,1,3.4836986,6.51098,6.8609295,5.3527493,9.44728,28.12,83.51,3.4,4.56,7.3608,5.618536074956258,1.8570849202970239,6.0307532378605435,1.282649064377259,6.580250697476523,3.1664358272699404,0,0.8601680384087792,4.9729323
6.762,8.1499,0.59,27.85,28.28,27.3,80.98,2.96,65.3,100.9,28.83,24.3,26.07,6.7418,2.2195,12.57,2021-01-17,4.9729323,2021,1,6,17,1,4.9836617,3.4836986,6.51098,6.441617,13.898806,28.15,80.86,16.23,4.35,7.0231,4.992780129114787,1.5136613605662175,5.97802642413548,1.322143614916769,6.261420820440565,3.0790634330356745,0,0.8297034319439501,4.790714
7.2533,8.1566,0.63,28.09,28.76,27.49,77.54,2.2,70.2,100.92,29.13,23.8,25.94,7.1179,2.0105,4.03,2021-01-18,4.790714,2021,1,0,18,1,4.9729323,4.9836617,3.4836986,7.376215,10.430398,27.85,80.98,12.57,2.96,6.762,4.480097532272339,0.8629234577946845,5.768214327948434,1.3524996924346884,5.623858443328312,2.1641833803965125,0,0.8892553269744747,6.5209637
7.063,8.171,0.61,28.12,28.96,27.5,79.21,2.97,95.2,100.94,29.22,24.19,26.16,7.2106,1.9166,1.56,2021-01-19,6.5209637,2021,1,1,19,1,4.790714,4.9729323,4.9836617,6.189083,5.931973,28.09,77.54,4.03,2.2,7.2533,4.915769259134929,0.10843400231102816,5.398857014519828,1.1825396357180336,5.221023857593536,1.6688875597729154,0,0.8643984824378901,1.2944028
6.7212,8.1574,0.59,28.04,28.89,26.97,80.76,2.55,23.9,100.77,29.55,24.44,26.24,5.4946,2.1739,2.66,2021-01-20,1.2944028,2021,1,2,20,1,6.5209637,4.790714,4.9729323,6.8609295,2.6623645,28.12,79.21,1.56,2.97,7.063,5.428203264872233,0.9507338615366764,5.4462685244424005,1.2253796051166328,5.263094621045249,1.695401688338605,0,0.8239390001716231,3.4601727
5.5457,8.0885,0.48,28.65,29.38,27.89,80.18,3.85,325.1,100.6,29.41,24.91,26.78,2.689,2.7156,7.24,2021-01-21,3.4601727,2021,1,3,21,1,1.2944028,6.5209637,4.790714,6.51098,1.5133849,28.04,80.76,2.66,2.55,6.7212,4.202026764551799,2.6625455560586144,4.651050431387765,1.8174822964036408,5.1653830749647955,1.8855744090035922,0,0.6856277430920443,3.6085765
4.8907,8.1046,0.43,28.1,28.84,27.36,82.77,2.16,340.5,100.62,29.34,24.91,26.51,1.2384,3.264,10.94,2021-01-22,3.6085765,2021,1,4,22,1,3.4601727,1.2944028,6.5209637,3.4836986,6.024031,28.65,80.18,7.24,3.85,5.5457,3.7585130532582602,2.626021663267389,4.215220791952951,1.6557309798495057,5.304439340318952,1.6529698270162805,0,0.6034474249191817,5.1680403
4.5775,8.1122,0.4,28.31,29.03,27.56,81.77,3.46,34.5,100.66,29.21,24.91,26.61,1.4424,3.0485,6.58,2021-01-23,5.1680403,2021,1,5,23,1,3.6085765,3.4601727,1.2944028,4.9836617,5.3527493,28.1,82.77,10.94,2.16,4.8907,2.787717342376709,1.2953752681790391,4.233060496194022,1.647186248612549,5.131906867027283,1.6975415285922395,0,0.5642735632750672,4.686214
4.3567,8.0081,0.38,27.36,27.75,26.91,84.65,3.93,66.5,100.53,28.86,24.57,25.97,0.3187,3.1334,26.82,2021-01-24,4.686214,2021,1,6,24,1,5.1680403,3.6085765,3.4601727,4.9729323,6.441617,28.31,81.77,6.58,3.46,4.5775,4.0789298216501875,0.9461115757430912,4.259400299617222,1.6625915424588515,5.118713361876352,1.6964104954669073,0,0.5440366628788351,3.8843987
5.964,8.0542,0.52,27.84,28.66,26.71,82.89,2.9,50.7,100.22,29.28,24.68,26.26,1.8094,3.787,19.84,2021-01-25,3.8843987,2021,1,0,25,1,4.686214,5.1680403,3.6085765,4.790714,7.376215,27.36,84.65,26.82,3.93,4.3567,4.487610260645549,0.7984762762311701,4.218440532684326,1.6455273644715618,4.99332743031638,1.655489474660906,0,0.7404832261428821,5.204239
6.4711,8.1494,0.57,28.26,29.36,27.27,80.88,3.35,25.6,99.99,29.5,24.68,26.47,4.631,3.0936,24.3,2021-01-26,5.204239,2021,1,1,26,1,3.8843987,4.686214,5.1680403,6.5209637,6.189083,27.84,82.89,19.84,2.9,5.964,4.5795509815216064,0.6484340130376014,4.088966948645456,1.6285630296719777,4.743911981582642,1.5269136073570715,0,0.794058458291408,11.414592
6.2282,8.2123,0.55,28.85,30.07,27.69,83.37,5.1,319.7,99.79,29.3,25.75,27.3,6.0756,3.0264,22.04,2021-01-27,11.414592,2021,1,2,27,1,5.204239,3.8843987,4.686214,1.2944028,6.8609295,28.26,80.88,24.3,3.35,6.4711,4.591617186864217,0.664985674424676,3.9008634090423584,1.353689287231829,4.6735659667423795,1.4770851903841489,0,0.7583989868855253,5.9117475
5.5399,8.2027,0.49,29.06,30.6,28.02,82.0,6.87,284.5,99.72,29.12,25.66,27.36,0.7594,3.9725,36.45,2021-01-28,5.9117475,2021,1,3,28,1,11.414592,5.204239,3.8843987,3.4601727,6.51098,28.85,83.37,22.04,5.1,6.2282,6.834409793217977,4.021075088975693,5.346604687826974,2.7696615516374345,4.99882755960737,2.279319856092931,0,0.6753751813427287,8.324207
2.8109,8.0683,0.25,28.11,28.94,27.36,85.34,10.09,318.7,99.75,28.56,25.43,26.77,0.3506,1.9447,88.58,2021-01-29,8.324207,2021,1,4,29,1,5.9117475,11.414592,5.204239,3.6085765,3.4836986,29.06,82.0,36.45,6.87,5.5399,7.51019271214803,3.399763404556557,5.696829659598214,2.6434922758362696,4.956025225775583,2.2542277522747605,0,0.3483881362864544,9.514125
5.3664,8.0705,0.47,28.0,28.47,27.55,87.41,11.55,17.0,99.66,28.51,25.73,26.86,2.0506,3.1003,72.26,2021-01-30,9.514125,2021,1,5,30,1,8.324207,5.9117475,11.414592,5.1680403,4.9836617,28.11,85.34,88.58,10.09,2.8109,8.550182183583578,2.7583731480888605,6.370491198131016,2.6234163980010567,5.301775847162519,2.3788062912868195,0,0.6649402143609442,9.288375
0.7505,7.9529,0.07,28.25,29.14,27.79,89.39,18.93,17.0,98.53,28.5,26.35,27.3,0.4788,0.4178,80.0,2021-01-31,9.288375,2021,1,6,31,1,9.514125,8.324207,5.9117475,4.686214,4.9729323,28.0,87.41,72.26,11.55,5.3664,7.916693210601807,1.8354377033547817,6.991360425949097,2.7997641520040792,5.62538036278316,2.6273701552481414,0,0.0943680921424889,6.8673105
5.2541,7.993,0.46,28.56,29.83,27.47,84.2,12.11,314.0,99.52,28.57,25.64,27.1,1.2744,3.7426,12.74,2021-02-01,6.8673105,2021,2,0,32,1,9.288375,9.514125,8.324207,3.8843987,4.790714,28.25,89.39,80.0,18.93,0.7505,9.042235692342123,0.6319923535724135,7.648811987468174,2.707057235760738,5.933626260076251,2.7928698256830478,0,0.6573376704616539,5.2197323
6.7541,8.1014,0.6,28.09,29.61,27.02,84.98,4.37,256.5,99.89,28.71,25.34,26.72,5.3942,2.7278,3.53,2021-02-02,5.2197323,2021,2,1,33,1,6.8673105,9.288375,9.514125,5.204239,6.5209637,28.56,84.2,12.74,12.11,5.2541,8.55660343170166,1.4673185265040711,8.074942248208183,2.2037007283904595,6.081954598426819,2.7826258138958297,0,0.8336954106697608,7.6697545
6.1222,7.9481,0.54,27.82,29.32,26.58,82.79,3.01,188.2,100.25,28.91,24.62,26.22,5.4394,2.3206,8.88,2021-02-03,7.6697545,2021,2,2,34,1,5.2197323,6.8673105,9.288375,11.414592,1.2944028,28.09,84.98,3.53,4.37,6.7541,7.125139236450195,2.0465385211287863,8.077155590057373,2.2003421432677515,5.989009499549866,2.7885595776736802,0,0.7702721405115688,5.4298325
4.1983,7.9142,0.37,27.73,28.76,27.18,84.01,1.82,178.0,100.37,28.55,24.78,26.25,0.9883,2.7622,15.41,2021-02-04,5.4298325,2021,2,3,35,1,7.6697545,5.2197323,6.8673105,5.9117475,3.4601727,27.82,82.79,8.88,3.01,6.1222,6.5855991045633955,1.2490689385489417,7.54217883518764,1.6367206871877333,6.4443917615073065,2.464692034731199,0,0.5304768643703722,5.9437256
5.351,7.8274,0.48,27.57,28.22,26.93,84.42,2.92,156.0,100.28,28.79,24.72,26.14,2.1437,3.4013,5.55,2021-02-05,5.9437256,2021,2,4,36,1,5.4298325,7.6697545,5.2197323,8.324207,3.6085765,27.73,84.01,15.41,1.82,4.1983,6.106439749399821,1.3579397225026861,7.473333835601807,1.7245120537416625,6.58508174760001,2.333993675774033,0,0.6836241919411299,5.3780622
3.8287,7.873,0.34,27.38,27.88,26.99,86.25,4.84,159.9,100.18,28.35,24.9,26.14,0.7438,2.5375,15.76,2021-02-06,5.3780622,2021,2,5,37,1,5.9437256,5.4298325,7.6697545,9.514125,5.1680403,27.57,84.42,5.55,2.92,5.351,6.3477708498636884,1.1733508108216428,7.133265018463135,1.7630389990600943,6.751878108297076,2.183506430394962,0,0.48630763368474533,4.324278
5.1288,7.9315,0.46,27.56,28.04,26.9,88.34,6.05,173.1,99.94,28.17,25.48,26.52,2.6923,2.8548,27.8,2021-02-07,4.324278,2021,2,6,38,1,5.3780622,5.9437256,5.4298325,9.288375,4.686214,27.38,86.25,15.76,4.84,3.8287,5.583873430887858,0.31271427659790296,6.542398929595947,1.5065536310274832,6.766879677772522,2.1724814133626777,0,0.6466368278383661,3.0839686
6.1742,7.9742,0.55,27.78,28.17,27.03,89.31,4.96,81.3,99.83,28.3,25.88,26.83,5.2747,2.2872,14.87,2021-02-08,3.0839686,2021,2,0,39,1,4.324278,5.3780622,5.9437256,6.8673105,3.8843987,27.56,88.34,27.8,6.05,5.1288,5.215355237325032,0.8218928752519978,5.833242212023054,1.1163614464171567,6.741027099745614,2.20111087641727,0,0.7742720272880038,4.9261217
6.1524,7.9522,0.55,28.03,29.3,26.76,86.81,6.88,261.7,99.83,28.24,25.63,26.83,2.9678,3.2054,7.21,2021-02-09,4.9261217,2021,2,1,40,1,3.0839686,4.324278,5.3780622,5.2197323,5.204239,27.78,89.31,14.87,4.96,6.1742,4.262102921803792,1.1483099169711422,5.292764799935477,1.4096083585463008,6.6838535240718295,2.289634594404555,0,0.7736726943487336,7.171046
7.3303,8.0678,0.66,28.63,29.9,27.4,79.96,5.29,299.5,100.33,28.76,24.81,26.72,6.2796,2.3779,5.42,2021-02-10,7.171046,2021,2,2,41,1,4.9261217,3.0839686,4.324278,7.6697545,11.414592,28.03,86.81,7.21,6.88,6.1524,4.111456076304118,0.939335842441424,5.250820432390485,1.416495231368862,6.663988011223929,2.3046171417347345,0,0.9085872232826793,3.7118893
4.1851,7.9226,0.38,28.24,29.39,27.23,82.15,4.69,324.5,100.64,28.58,24.9,26.57,1.6872,2.2774,12.48,2021-02-11,3.7118893,2021,2,3,42,1,7.171046,4.9261217,3.0839686,5.4298325,5.9117475,28.63,79.96,5.42,5.29,7.3303,5.060378710428874,2.0468435687671804,5.179576328822544,1.28057576404779,6.3608775820050925,1.8697797172352877,0,0.5282483023249943,8.641571
4.7938,7.8168,0.43,26.86,27.11,26.63,85.71,4.15,343.9,100.78,28.03,24.28,25.57,1.8233,2.6076,21.88,2021-02-12,8.641571,2021,2,4,43,1,3.7118893,7.171046,4.9261217,5.9437256,8.324207,28.24,82.15,12.48,4.69,4.1851,5.269685586293538,1.7549837741860295,4.934155872889927,1.3849852288360927,6.203744854245867,1.998436734967768,0,0.6132688568212057,5.2185383
4.0445,7.8067,0.36,27.04,27.38,26.52,86.53,4.74,38.6,100.84,28.03,24.62,25.83,0.2455,2.9222,10.86,2021-02-13,5.2185383,2021,2,5,44,1,8.641571,3.7118893,7.171046,5.3780622,9.514125,26.86,85.71,21.88,4.15,4.7938,6.508168697357178,2.5308091844652814,5.319562367030552,1.9661736781879298,6.226413692746844,2.0259505508313964,0,0.5180806230545557,6.7249
6.3614,7.8526,0.57,27.47,27.99,26.8,83.91,3.63,53.6,100.81,28.54,24.53,26.0,3.876,3.1798,7.41,2021-02-14,6.7249,2021,2,6,45,1,5.2185383,8.641571,3.7118893,4.324278,9.288375,27.04,86.53,10.86,4.74,4.0445,5.857332865397136,2.5261600296894873,5.29677322932652,1.9663071060749095,5.919586079461234,1.8027104959664189,0,0.8101011130071568,7.5593505
7.0716,7.8506,0.64,27.47,28.19,26.52,82.56,2.86,64.9,100.75,28.88,24.26,25.86,7.0901,1.7693,2.53,2021-02-15,7.5593505,2021,2,0,46,1,6.7249,5.2185383,8.641571,3.0839686,6.8673105,27.47,83.91,7.41,3.63,6.3614,6.861669699350993,1.7156100461616608,5.639719213758196,1.97773845502238,5.736480712890625,1.546145397708723,0,0.9007719155223805,4.773952
6.3103,7.7954,0.57,27.93,28.37,27.42,84.25,4.57,52.7,100.78,28.62,25.04,26.49,3.9264,3.0473,6.12,2021-02-16,4.773952,2021,2,1,47,1,7.5593505,6.7249,5.2185383,4.9261217,5.2197323,27.47,82.56,2.53,2.86,7.0716,6.500929514567058,1.186369441763152,6.279059478214809,1.7204906181573998,5.785912139075143,1.5953591908868916,0,0.8094902121764117,4.8012652
6.733,7.8965,0.61,28.07,28.85,27.36,81.8,5.42,61.1,100.87,28.85,24.68,26.37,4.525,3.0175,1.79,2021-02-17,4.8012652,2021,2,2,48,1,4.773952,7.5593505,6.7249,7.171046,7.6697545,27.93,84.25,6.12,4.57,6.3103,6.352734088897705,1.4295074842926865,6.257320949009487,1.7412700229279938,5.754070690699986,1.6118916673435446,0,0.8526562401063762,4.9819846
6.5045,7.9102,0.59,27.92,28.66,27.23,81.31,4.2,93.3,100.93,28.91,24.44,26.18,4.1292,3.491,1.44,2021-02-18,4.9819846,2021,2,3,49,1,4.8012652,4.773952,7.5593505,3.7118893,5.4298325,28.07,81.8,1.79,5.42,6.733,5.711522579193115,1.6003241845682754,5.918780871800014,1.7642310520834725,5.549178600311279,1.5298766843936615,0,0.8222927359611641,5.235208
6.822,7.8137,0.62,27.39,28.29,26.72,83.08,4.02,119.4,100.9,28.97,24.28,25.84,5.5222,2.4586,0.41,2021-02-19,5.235208,2021,2,4,50,1,4.9819846,4.8012652,4.773952,8.641571,5.9437256,27.92,81.31,1.44,4.2,6.5045,4.852400620778401,0.11305092612845344,6.100223064422607,1.5519791137250265,5.517189468656268,1.5372286240626538,1,0.8730818946209863,5.617146
6.4102,7.7292,0.59,27.25,27.63,26.8,84.13,4.4,115.5,100.81,28.52,24.36,25.81,5.0585,2.3098,4.73,2021-02-20,5.617146,2021,2,5,51,1,5.235208,4.9819846,4.8012652,5.2185383,5.3780622,27.39,83.08,0.41,4.02,6.822,5.006152629852295,0.21797857001153723,5.61359977722168,1.0865864665000484,5.466581072126116,1.5337650378411978,0,0.8293484448584588,8.569181
3.4358,7.6553,0.32,27.4,28.3,26.66,82.27,7.78,110.8,100.67,28.35,24.12,25.76,0.5064,2.3174,22.49,2021-02-21,8.569181,2021,2,6,52,1,5.617146,5.235208,4.9819846,6.7249,4.324278,27.25,84.13,4.73,4.4,6.4102,5.278112888336182,0.3197469637434094,5.670543738773891,1.072789322622806,5.483658484050205,1.5340346193784047,0,0.4488132405000457,10.718573
6.6804,7.7938,0.61,27.33,28.06,26.75,79.03,8.35,114.6,100.55,28.19,23.39,25.36,5.7149,2.4511,2.38,2021-02-22,10.718573,2021,2,0,53,1,8.569181,5.617146,5.235208,7.5593505,3.0839686,27.4,82.27,22.49,7.78,3.4358,6.47384516398112,1.8246355100600575,5.93401254926409,1.5116097811965434,5.786865881511143,1.6979990746606877,0,0.8571428571428571,9.051022
6.9823,7.8895,0.64,27.72,28.67,26.93,77.9,7.54,112.7,100.41,28.33,23.52,25.62,6.4255,2.58,3.0,2021-02-23,9.051022,2021,2,1,54,1,10.718573,8.569181,5.617146,4.773952,4.9261217,27.33,79.03,2.38,8.35,6.6804,8.301633358001709,2.5612154976565673,6.38532999583653,2.3285998774251904,6.332194737025669,1.9677069653255284,0,0.8850117244438812,6.3164334
6.5539,7.8636,0.61,27.58,28.3,26.97,78.38,6.38,120.8,100.36,28.46,23.5,25.54,6.0727,2.9191,0.76,2021-02-24,6.3164334,2021,2,2,55,1,9.051022,10.718573,8.569181,4.8012652,7.171046,27.72,77.9,3.0,7.54,6.9823,9.446258544921875,1.127887317643952,6.996339934212821,2.3954924650098666,6.626830441611154,2.048150279336838,1,0.8334477847296403,6.241784
6.605,7.8084,0.61,27.44,28.27,26.72,78.61,5.76,110.1,100.36,28.51,23.41,25.43,5.9842,2.1127,3.2,2021-02-25,6.241784,2021,2,3,56,1,6.3164334,9.051022,10.718573,4.9819846,3.7118893,27.58,78.38,0.76,6.38,6.5539,8.695342540740967,2.2225183997379485,7.212792532784598,2.2265916684455607,6.565786702292306,2.0434127111363054,0,0.8458839198811537,3.6366644
6.6554,7.6819,0.62,26.36,27.39,24.96,80.15,5.6,92.8,100.28,27.77,22.67,24.51,6.1147,1.9562,8.22,2021-02-26,3.6366644,2021,2,4,57,1,6.241784,6.3164334,9.051022,5.235208,8.641571,27.44,78.61,3.2,5.76,6.605,7.203079700469971,1.6007998038692108,7.392763887132917,2.060982304202453,6.746493475777762,1.8766795470550202,0,0.8663742042984158,5.697146
4.3354,7.7179,0.4,26.72,27.91,24.95,84.67,8.36,355.1,100.24,27.59,23.95,25.34,1.4047,2.4502,11.39,2021-02-27,5.697146,2021,2,5,58,1,3.6366644,6.241784,6.3164334,5.617146,5.2185383,26.36,80.15,8.22,5.6,6.6554,5.398293972015381,1.5260724810599444,7.164400509425572,2.4004886896362696,6.389000143323626,1.9626421904006877,0,0.5617331139299551,4.847976
4.6726,7.6392,0.44,27.29,28.01,26.58,87.33,8.98,342.2,100.25,27.83,25.01,26.15,1.1657,3.0667,29.27,2021-02-28,4.847976,2021,2,6,59,1,5.697146,3.6366644,6.241784,8.569181,6.7249,26.72,84.67,11.39,8.36,4.3354,5.191864808400472,1.3740974984383398,7.175829069955008,2.392070264967964,6.42318640436445,1.9447731971503255,0,0.6116609069012462,7.558011
2.214,7.5451,0.21,27.69,28.82,27.05,83.89,10.91,354.1,100.43,27.93,24.73,26.21,0.1394,1.5898,15.25,2021-03-01,7.558011,2021,3,0,60,1,4.847976,5.697146,3.6366644,10.718573,7.5593505,27.29,87.33,29.27,8.98,4.6726,4.727262179056804,1.0355312454340782,6.644228322165353,2.44374281054882,6.289120435714722,1.9866183266000332,0,0.2934354746789307,9.090158
2.8622,7.41,0.27,27.96,29.08,27.15,79.48,9.66,347.4,100.59,28.1,24.09,26.03,0.4303,1.8269,9.42,2021-03-02,9.090158,2021,3,1,61,1,7.558011,4.847976,5.697146,9.051022,4.773952,27.69,83.89,15.25,10.91,2.214,6.034377733866374,1.3861335364985308,6.192719527653286,1.7625251609272383,6.2890247617449075,1.9865524788488216,0,0.3862618083670715,6.9238515
3.911,7.4458,0.37,27.85,28.91,27.08,78.62,7.09,338.0,100.78,28.18,23.8,25.83,0.6917,2.4809,4.7,2021-03-03,6.9238515,2021,3,2,62,1,9.090158,7.558011,4.847976,6.3164334,4.8012652,27.96,79.48,9.42,9.66,2.8622,7.165381908416748,2.1481726666569814,6.198310511452811,1.7731334141310326,6.597325222832816,2.066645291360433,0,0.5252625641301136,6.707818
5.7989,7.4364,0.55,27.93,29.32,26.78,78.3,4.61,349.2,100.76,28.48,23.81,25.87,3.8765,2.4386,5.32,2021-03-04,6.707818,2021,3,3,63,1,6.9238515,9.090158,7.558011,6.241784,4.9819846,27.85,78.62,4.7,7.09,3.911,7.857340335845947,1.113741437031771,6.285084520067487,1.794610506192186,6.748938526426043,2.0015815191332975,0,0.7797993652842773,5.048747
5.9971,7.4338,0.57,27.9,29.0,26.89,80.42,5.28,345.3,100.78,28.23,24.23,26.07,3.0379,3.4327,6.2,2021-03-05,5.048747,2021,3,4,64,1,6.707818,6.9238515,9.090158,3.6366644,5.235208,27.93,78.3,5.32,4.61,5.7989,7.5739426612854,1.317516747812211,6.351660796574184,1.8013681422852474,6.87221234185355,1.9364735238562907,0,0.8067341063789717,5.6894116
6.161,7.3493,0.59,28.23,29.39,27.34,80.01,5.96,343.1,100.76,28.49,24.46,26.34,4.4899,2.5495,1.26,2021-03-06,5.6894116,2021,3,5,65,1,5.048747,6.707818,6.9238515,5.697146,5.617146,27.9,80.42,6.2,5.28,5.9971,6.226805528004964,1.0259307601431427,6.553386892591204,1.5006158676165222,6.858893701008388,1.9491979677477242,0,0.8383111316724041,8.386607
5.8788,7.4028,0.56,28.44,29.73,27.28,80.75,4.33,310.7,100.82,28.69,24.81,26.62,4.3814,2.3098,5.57,2021-03-07,8.386607,2021,3,6,66,1,5.6894116,5.048747,6.707818,4.847976,8.569181,28.23,80.01,1.26,5.96,6.161,5.815325578053792,0.8366718948020034,6.552281992776053,1.501354056244285,6.864055531365531,1.945749277855442,0,0.7941319500729453,7.5946255
6.1313,7.314,0.59,27.17,27.73,26.57,83.46,2.52,196.2,100.9,28.59,24.14,25.65,5.5128,2.3222,21.11,2021-03-08,7.5946255,2021,3,0,67,1,8.386607,5.6894116,5.048747,7.558011,10.718573,28.44,80.75,5.57,4.33,5.8788,6.374921957651774,1.771375403666005,7.057800701686314,1.4256945970912462,6.851014511925833,1.9340183645131637,0,0.8382964178288215,7.305758
3.5318,7.2948,0.34,26.43,26.87,26.04,83.45,6.84,146.4,100.92,27.87,23.41,24.92,0.797,2.2716,20.65,2021-03-09,7.305758,2021,3,1,68,1,7.5946255,8.386607,5.6894116,9.090158,9.051022,27.17,83.46,21.11,2.52,6.1313,7.2235480944315595,1.386358448365881,7.063031332833426,1.4279011068756873,6.627875430243356,1.6058409806639264,0,0.48415309535559575,7.8909607
6.2282,7.4539,0.6,26.44,27.22,25.72,77.89,6.62,119.8,101.0,27.9,22.29,24.37,5.077,2.5486,1.48,2021-03-10,7.8909607,2021,3,2,69,1,7.305758,7.5946255,8.386607,6.9238515,6.3164334,26.43,83.45,20.65,6.84,3.5318,7.762330214182536,0.5596002078253574,6.808116980961391,1.1349164413670574,6.503213746207101,1.4648115750459034,0,0.8355625913951086,5.6181192
7.0901,7.4405,0.69,26.86,27.68,26.14,73.52,5.72,104.8,101.1,27.95,21.74,24.3,7.0922,1.8763,0.19,2021-03-11,5.6181192,2021,3,3,70,1,7.8909607,7.305758,7.5946255,6.707818,6.241784,26.44,77.89,1.48,6.62,6.2282,7.597114721934001,0.29260928816175535,6.9462754385811945,1.2078737300397646,6.615679979324341,1.5091419341790664,1,0.9529063906995497,5.938489
5.8618,7.3778,0.57,27.04,27.79,26.2,75.31,5.15,110.8,101.06,28.05,22.31,24.67,4.8888,2.2603,1.87,2021-03-12,5.938489,2021,3,4,71,1,5.6181192,7.8909607,7.305758,5.048747,3.6366644,26.86,73.52,0.19,5.72,7.0901,6.938279310862224,1.1801408848754313,6.790604182652065,1.3096599978698764,6.571132489613125,1.5300871895971115,0,0.7945186912087614,4.4151278
5.0191,7.2398,0.49,26.75,27.62,25.87,77.8,5.34,110.4,101.02,28.06,22.57,24.66,2.6417,2.5579,2.59,2021-03-13,4.4151278,2021,3,5,72,1,5.938489,5.6181192,7.8909607,5.6894116,5.697146,27.04,75.31,1.87,5.15,5.8618,6.482522964477539,1.230216166594353,6.917710168021066,1.1452946102307822,6.735548530306135,1.2963216133994904,0,0.6932650073206442,3.0541544
2.8452,7.1194,0.28,26.6,27.33,25.98,80.55,4.22,80.9,100.99,27.59,22.99,24.8,0.3497,1.9531,29.64,2021-03-14,3.0541544,2021,3,6,73,1,4.4151278,5.938489,5.6181192,8.386607,4.847976,26.75,77.8,2.59,5.34,5.0191,5.323911984761556,0.8031660928594914,6.7356696128845215,1.4371516148109618,6.643975802830288,1.4151521028377931,0,0.3996404191364441,4.3898325
2.8272,7.1136,0.28,26.32,26.96,25.77,83.0,3.34,10.0,100.94,27.6,23.22,24.77,0.1656,2.0726,33.97,2021-03-15,4.3898325,2021,3,0,74,1,3.0541544,4.4151278,5.938489,7.5946255,7.558011,26.6,80.55,29.64,4.22,2.8452,4.46925703684489,1.4429289497412765,5.9738906451634,1.7869078360852544,6.515845673424857,1.6517096441202601,0,0.3974358974358974,2.6512055
6.1474,7.2806,0.61,26.44,27.92,25.48,76.22,2.78,236.0,100.9,27.79,21.9,24.17,5.5752,1.8811,343.45,2021-03-16,2.6512055,2021,3,1,75,1,4.3898325,3.0541544,4.4151278,7.305758,9.090158,26.32,83.0,33.97,3.34,2.8272,3.953038215637207,0.7785589594507348,5.516063077109201,1.711405560211776,6.2895472049713135,1.7138070782731272,0,0.8443534873499438,0.5857856
7.0822,7.355,0.7,26.17,27.2,25.24,78.51,3.11,139.2,100.94,27.87,22.15,24.16,7.999,1.2922,49.35,2021-03-17,0.5857856,2021,3,2,76,1,2.6512055,4.3898325,3.0541544,7.8909607,6.9238515,26.44,76.22,343.45,2.78,6.1474,3.3650641441345215,0.9100574583159601,4.851127011435373,1.8019838578536864,5.829621996198382,1.7675585293321319,0,0.9629095853161115,1.3581029
6.6492,7.343,0.66,26.39,27.26,25.6,80.14,4.53,129.7,100.95,27.78,22.72,24.55,7.4666,1.5835,0.47,2021-03-18,1.3581029,2021,3,3,77,1,0.5857856,2.6512055,4.3898325,5.6181192,6.707818,26.17,78.51,49.35,3.11,7.0822,2.542274554570516,1.9043614718738036,3.807530573436192,1.8624253262373711,5.3769030060086935,2.219607378843983,1,0.9055154568977258,3.221686
6.7435,7.236,0.67,26.13,26.84,25.4,80.54,4.16,131.5,100.91,27.83,22.54,24.33,7.6027,1.5641,0.23,2021-03-19,3.221686,2021,3,4,78,1,1.3581029,0.5857856,2.6512055,5.938489,5.048747,26.39,80.14,0.47,4.53,6.6492,1.5316980282465618,1.043595371963002,3.1989568131310597,1.8681853470134353,4.994780497891562,2.4239464436098084,1,0.9319375345494749,6.2217965
6.4457,7.1158,0.65,26.41,27.45,25.5,77.25,3.15,144.7,100.81,27.99,22.12,24.27,6.0341,2.5022,0.02,2021-03-20,6.2217965,2021,3,5,79,1,3.221686,1.3581029,0.5857856,4.4151278,5.6894116,26.13,80.54,0.23,4.16,6.7435,1.7218581438064575,1.3550759913297294,2.8108420882906233,1.4365321607313557,4.864276128155844,2.4695721420664034,1,0.9058292813176312,7.066227
