Model,AQI_accuracy,AQI_macro_F1,AQI_weighted_F1,Moderate_recall
Persistence baseline,0.9343065693430657,0.6826254826254826,0.9322436096158724,0.375
"ARIMAX(1, 0, 1)",0.9416058394160584,0.4849624060150376,0.9132868668020416,0.0
XGBoost,0.9416058394160584,0.6513994910941475,0.9323192362697572,0.25
