Model,MAE,RMSE,R2,sMAPE_percent
"ARIMAX(1, 0, 1)",1.3675361395596406,1.7447698905358948,0.38973065558254916,27.401625319583168
XGBoost,1.4111994337347766,1.775661666450878,0.3679292738244303,28.449914477732413
Persistence baseline,1.5399990394160583,2.108498145228815,0.10876612510816941,31.32887084697011
