year,mean_pm25,median_pm25,maximum_pm25,mean_aqi,number_of_days
2021,5.972943453780822,5.6181192,16.41038,32.15890410958904,365
2022,6.383691125890411,6.2349343,20.23964,34.273972602739725,365
2023,5.380970464931507,5.054346,17.14406,29.216438356164385,365
2024,5.284763290104167,5.05090355,15.831332,28.546875,192
