season,mean_pm25,median_pm25,maximum_pm25,mean_aqi,number_of_days
Dry season,6.284005765168539,5.9397287,16.41038,33.76243980738363,623
Wet season,5.382477110361446,5.1529305,20.23964,29.15512048192771,664
